id,batchID,batchIDLastChangedAt,bonus,bonusLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01KC79M09BQP3WHCMAR9Z1W1H5,01KC792Q82X2T1YA3GQS9WQQTM,2025-12-11T18:08:52.523708044Z,0,2025-12-11T18:08:59.931719705Z,D,2025-12-11T18:08:59.426751449Z,01KC792Q8CHHGA8FER6C9SCFBH,2025-12-11T18:08:52.523708044Z,01KC79C5QHJNWZ7FV9P5YRT489,2025-12-11T18:08:52.523708044Z,01KC79K4V245TTWDF8A68MS3W4,2025-12-11T18:08:52.523708044Z
01KC79QEPMS7HC153YPHJ0R53B,01KC792NB401Z43FH75BN7VEQG,2025-12-11T18:10:45.588977166Z,0,2025-12-11T18:10:58.784208378Z,D,2025-12-11T18:10:53.955523474Z,01KC792NBGNJFX9E924E6B4P1D,2025-12-11T18:10:45.588977166Z,01KC79GCWM9WHGR9R4SX5XBRJ6,2025-12-11T18:10:45.588977166Z,01KC79MA86QKAP41FW7M0TE0AR,2025-12-11T18:10:45.588977166Z
01KC7A09DX1DJ2KHT7WXZJGMZ7,01KC792QR6XXN61ZXWP8M9MPK8,2025-12-11T18:15:35.101473966Z,22,2025-12-11T18:15:38.655144209Z,C,2025-12-11T18:15:38.57579604Z,01KC792QRJCW2RMKD50WKTBMJB,2025-12-11T18:15:35.101473966Z,01KC79HX8SJ75JCT5T5G83CA15,2025-12-11T18:15:35.101473966Z,01KC79RQATM4GMJGFT2NFGRZE8,2025-12-11T18:15:35.101473966Z
01KC7AX6GVFVDXQR68CY5XRHVY,01KC79VJE7CNPF3WFGNWFS1AX9,2025-12-11T18:31:22.39566806Z,29,2025-12-11T18:32:01.621119348Z,D,2025-12-11T18:32:01.495748167Z,01KC79VJRN83Z6TJ4WRC66DE0Y,2025-12-11T18:31:22.39566806Z,01KC79W2774N3YJ8ZFWVXYQRRP,2025-12-11T18:31:22.39566806Z,01KC7AADW234KCTA42MF7PNCCF,2025-12-11T18:31:22.39566806Z
01KC79RN7RFFA6D89PH00DDE39,01KC792QK3NQ9YQBMVC4J2ZJYJ,2025-12-11T18:11:25.048852924Z,22,2025-12-11T18:11:41.23183079Z,C,2025-12-11T18:11:28.900441632Z,01KC792QKEWXFRRJ193215MS3Y,2025-12-11T18:11:25.048852924Z,01KC79GNS1S2AW9A3YTCFXMHYJ,2025-12-11T18:11:25.048852924Z,01KC79RHD6RMMSX0MW1167BZ8S,2025-12-11T18:11:25.048852924Z
01KC79XQY8MG49KYF55SHYJD2B,01KC792R3GAQ93Y2KWRDZ6PHKT,2025-12-11T18:14:11.656154235Z,29,2025-12-11T18:14:14.776412497Z,D,2025-12-11T18:14:14.688124295Z,01KC792R3VN56ANE0EJ3WM1V55,2025-12-11T18:14:11.656154235Z,01KC79GWXG2AN5SGG1MDP4PN8P,2025-12-11T18:14:11.656154235Z,01KC79S07QD1ZMSPMMDNTT11D4,2025-12-11T18:14:11.656154235Z
01KC7A079S7RRJ8JRZ8S515XXZ,01KC79VHE8PE9MZRMG71GAT5MW,2025-12-11T18:15:32.921688016Z,12,2025-12-11T18:15:44.15437483Z,C,2025-12-11T18:15:44.07124424Z,01KC79VHNW7FWHSXXSWMJ4BAAT,2025-12-11T18:15:32.921688016Z,01KC79K0V50SP04EJBDH0RXGDM,2025-12-11T18:15:32.921688016Z,01KC7A006RMX5WXG2VMVQVSSSA,2025-12-11T18:15:32.921688016Z
01KC79GNTYXPS4C4FAMGXW5BYR,01KC792RKV2EEPDB2VKNCS5H0N,2025-12-11T18:07:03.518815684Z,0,2025-12-11T18:07:24.766176172Z,D,2025-12-11T18:07:08.386383265Z,01KC792RM5H8250G7S7JGPBJ2K,2025-12-11T18:07:03.518815684Z,01KC79BQE5NEVJ38SXM2BYNA5G,2025-12-11T18:07:03.518815684Z,01KC79GMJ1BTB300D0SKRNCG55,2025-12-11T18:07:03.518815684Z
01KC79KMRB39C02SCNGNEWGZCN,01KC792S5XKA02FKX43NFPRQY2,2025-12-11T18:08:40.71548959Z,22,2025-12-11T18:08:47.295309722Z,C,2025-12-11T18:08:42.016798879Z,01KC792S662BJ5HPY24M0VV8VJ,2025-12-11T18:08:40.71548959Z,01KC79EZNG9TKMRXJ42Q2PD9ZM,2025-12-11T18:08:40.71548959Z,01KC79HQBAM004NC3BNXJGKHNB,2025-12-11T18:08:40.71548959Z
01KC79MV5159F4FYK7Z4P4HG2F,01KC792S5XKA02FKX43NFPRQY2,2025-12-11T18:09:20.033765755Z,12,2025-12-11T18:09:32.318738585Z,C,2025-12-11T18:09:20.9896727Z,01KC792S662BJ5HPY24M0VV8VJ,2025-12-11T18:09:20.033765755Z,01KC79EZNG9TKMRXJ42Q2PD9ZM,2025-12-11T18:09:20.033765755Z,01KC79HQAZRH8MDD1T22R290C6,2025-12-11T18:09:20.033765755Z
01KC79MZN75DG48G9RQRWZQ3W5,01KC792KZR2KPNFT8RETH9PVJY,2025-12-11T18:09:24.647067437Z,0,2025-12-11T18:09:27.423613942Z,D,2025-12-11T18:09:27.37854761Z,01KC792M0BM7GTS3CCE5Y5ZV08,2025-12-11T18:09:24.647067437Z,01KC79GB6BP1RTRJCNVY3CJYQF,2025-12-11T18:09:24.647067437Z,01KC79M3M0T5QXVWZYSBEAPAHS,2025-12-11T18:09:24.647067437Z
01KC79QFC7PHCCRA0N8FAJ1GFQ,01KC792NT3GNWPDN4K2DAPSNHC,2025-12-11T18:10:46.279252296Z,29,2025-12-11T18:10:49.747889657Z,D,2025-12-11T18:10:48.242086891Z,01KC792NTEQ8JKXK344BFAF58E,2025-12-11T18:10:46.279252296Z,01KC79FFZCYEFXMZGEYF857PHT,2025-12-11T18:10:46.279252296Z,01KC79N3EAPVWAJ4VJCCX751YD,2025-12-11T18:10:46.279252296Z
