id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01KC79PXG02WXRESVNJCYA0MDT,01KC792Q2KDA3A5X63Y7FG3Z7J,2025-12-11T18:10:27.968883701Z,01KC792Q2YZQWMD1AZ7DV21XYT,2025-12-11T18:10:27.968883701Z,01KC79FJ1AZ301480R5J03MPQZ,2025-12-11T18:10:27.968883701Z
01KC7BNF9NNTGSXY1THGZ4YZKD,01KC79X2YHB00QNBFZQY5QH2DZ,2025-12-11T18:44:37.81365205Z,01KC79X3KPYBRKKGVN4JT64MTF,2025-12-11T18:44:37.81365205Z,01KC7B94F4XX68YHBM7ZRFE46E,2025-12-11T18:44:37.81365205Z
01KC79M3HZQ6MF8FE958D9YZWS,01KC792KZR2KPNFT8RETH9PVJY,2025-12-11T18:08:55.871416966Z,01KC792M0BM7GTS3CCE5Y5ZV08,2025-12-11T18:08:55.871416966Z,01KC79GB6BP1RTRJCNVY3CJYQF,2025-12-11T18:08:55.871416966Z
01KC79PT6WXJ1E9AQAJ1ZGPNA2,01KC792PXGTWWGJ3W8WN91YRG2,2025-12-11T18:10:24.604764905Z,01KC792PXTR0N6KYBS1YKZHZ15,2025-12-11T18:10:24.604764905Z,01KC79F5KVWH11A1HGCQZ9K72R,2025-12-11T18:10:24.604764905Z
01KC7A4YSDB98WF7KZ1YPQ6TFH,01KC79VJ1XZ02D6PCVP5WH7QJ5,2025-12-11T18:18:08.045544656Z,01KC79VJ6S95MS6XD8D1HAJ57N,2025-12-11T18:18:08.045544656Z,01KC79JH0R6P4AJXEP9MB1KQ0F,2025-12-11T18:18:08.045544656Z
01KC79MA6FWFZ2RJVKB6J587YN,01KC792NB401Z43FH75BN7VEQG,2025-12-11T18:09:02.671881105Z,01KC792NBGNJFX9E924E6B4P1D,2025-12-11T18:09:02.671881105Z,01KC79G73DX1BWBNNZBRW537F6,2025-12-11T18:09:02.671881105Z
01KC79MS68HJDCZQCJPGN8KC1J,01KC792NHQWGSTE39SGFFP76GE,2025-12-11T18:09:18.024829881Z,01KC792NJ42D4D8E76QXEYJGPD,2025-12-11T18:09:18.024829881Z,01KC79GYAFSP28S2CYRE337WFE,2025-12-11T18:09:18.024829881Z
01KC79R422HFHSP8MB3P0Q200G,01KC792QDM8ER77KTTG8XHXEJ6,2025-12-11T18:11:07.458779432Z,01KC792QDY5PWY64QNNCK4BSVK,2025-12-11T18:11:07.458779432Z,01KC79HT0F8XRMKEKFF8CCBQF5,2025-12-11T18:11:07.458779432Z
01KC79S02AFXW2KXRV3FAR5P3T,01KC792R3GAQ93Y2KWRDZ6PHKT,2025-12-11T18:11:36.13877604Z,01KC792R3VN56ANE0EJ3WM1V55,2025-12-11T18:11:36.13877604Z,01KC79MP2326D39SYQE8CY2BC7,2025-12-11T18:11:36.13877604Z
01KC79Z29SXGPDD7A753M2FE43,01KC79Q7J7QADCZGK8XSKJE216,2025-12-11T18:14:55.034032839Z,01KC79Q7KZQDNHF5M1TY59AJCV,2025-12-11T18:14:55.034032839Z,01KC79VJYGBR0EM7VEEMCE0MFN,2025-12-11T18:14:55.034032839Z
01KC7AADEWV9MEPXKTVQX4KMWN,01KC79VJE7CNPF3WFGNWFS1AX9,2025-12-11T18:21:06.908093592Z,01KC79VJRN83Z6TJ4WRC66DE0Y,2025-12-11T18:21:06.908093592Z,01KC79W2774N3YJ8ZFWVXYQRRP,2025-12-11T18:21:06.908093592Z
01KC79GJV01W3DWW4Y149036WE,01KC792RDGGK8CDH8Q95GZY5QB,2025-12-11T18:07:00.448097377Z,01KC792RDTTPADJ08M6VFTYHNX,2025-12-11T18:07:00.448097377Z,01KC79F1NBN201MMNWZF2EF0XJ,2025-12-11T18:07:00.448097377Z
01KC79K4SWZWEJZESQ6D7Q6PPK,01KC792Q82X2T1YA3GQS9WQQTM,2025-12-11T18:08:24.38095981Z,01KC792Q8CHHGA8FER6C9SCFBH,2025-12-11T18:08:24.38095981Z,01KC79ENS0X8DN45NJYZF1KKZR,2025-12-11T18:08:24.38095981Z
01KC79PETKBYWPAVE1J23R30JS,01KC792PFK3W14G4ZFE0JVZG1C,2025-12-11T18:10:12.947238386Z,01KC792PFW6AVG96T52RTPX57B,2025-12-11T18:10:12.947238386Z,01KC79HNBJ2VX43MH80SACDQ3D,2025-12-11T18:10:12.947238386Z
